id;slug;name
597;bookkeeping;Bookkeeping
598;budgeting-forecasting;Budgeting & Forecasting
599;business-analysis;Business Analysis
600;business-mathematics;Business Mathematics
602;corporate-strategy;Corporate Strategy
603;data-interpretation;Data Interpretation
604;data-sufficiency;Data Sufficiency
605;financial-analysis;Financial Analysis
606;financial-forecasting;Financial Forecasting
607;financial-management;Financial Management
608;financial-reporting;Financial Reporting
609;financial-statements;Financial Statements
610;human-resources;Human Resources
611;inventory-management;Inventory Management
612;investment-research;Investment Research
613;job-costing;Job Costing
614;lacerte;Lacerte
615;management;Management
616;myob;MYOB
617;negotiation;Negotiation
618;operations-management;Operations Management
619;organizational-behavior;Organizational Behavior
620;payroll;Payroll
621;peachtree;Peachtree
622;project-management;Project Management
623;quickbooks;QuickBooks
624;quicken;Quicken
625;six-sigma;Six Sigma
626;statistics;Statistics
627;strategic-planning;Strategic Planning
628;tax-preparation;Tax Preparation
629;tqm;TQM
630;legal;Legal
631;antitrust;Antitrust
632;bankruptcy;Bankruptcy
633;benefits-law;Benefits Law
634;commercial-lending;Commercial Lending
635;compensation;Compensation
636;consumer-protection;Consumer Protection
637;contract-law;Contract Law
638;contracts;Contracts
639;copyright;Copyright
640;corporate-law;Corporate Law
641;creative-talent;Creative & Talent
642;electronic-commerce;Electronic Commerce
643;employment-law;Employment Law
644;environment;Environment
645;family-law;Family Law
646;immigration-law;Immigration Law
647;insurance;Insurance
648;intellectual-property;Intellectual Property
649;international-law;International Law
650;legal-consulting;Legal Consulting
651;legal-research;Legal Research
652;legal-transcription;Legal Transcription
653;licensing;Licensing
654;litigation;Litigation
655;medical-law;Medical Law
656;paralegal;Paralegal
657;patent-law;Patent Law
658;privacy;Privacy
659;product-liability;Product Liability
660;real-estate-law;Real Estate Law
661;records-management;Records Management
662;tax-law;Tax Law
663;trade-law;Trade Law
664;trademark;Trademark
665;trusts-estates-wills;Trusts Estates Wills
666;web-development-1;Web Development
667;wordpress-theme;Wordpress Theme
668;corporate-image-1;Corporate Image
669;art-and-illustration;Art and Illustration
670;photo-slideshow;Photo Slideshow
671;invitation-card;Invitation Card
672;make-or-edit-a-video;Make or edit a video
673;translation-1;Translation
674;web-development;Web development
676;corporate-image;Corporate image
677;illustrations;Illustrations
680;translation;Translation
681;community-management;Community Management
684;mobile-app-design;Mobile app design
685;laravel;Laravel
686;bootstrap;Bootstrap
687;arduino;Arduino
688;opencart;Opencart
689;angularjs;AngularJS
690;adobe-pdf;Adobe PDF
691;adobe-muse;Adobe Muse
692;adobe-encore;Adobe Encore
693;adobe-incopy;Adobe InCopy
694;adobe-audition;Adobe Audition
695;adobe-captivate;Adobe Captivate
696;adobe-lightroom;Adobe Lightroom
697;adobe-soundbooth;Adobe Soundbooth
698;adobe-business-catalyst;Adobe Business Catalyst
699;css3;CSS3
700;web-layout;Web Layout
701;psd-to-html;PSD to HTML
702;microsoft-project;Microsoft Project
703;microsoft-office;Microsoft Office
704;uml-design;UML Design
705;mvc;MVC
706;java-server-faces-jsf;Java Server Faces (JSF)
707;git;Git
708;wordfast;Wordfast
709;sdl-trados;SDL Trados
710;english-translation;English Translation
711;mongodb;MongoDB
712;scrum;Scrum
713;spring-framework;Spring Framework
714;spring-security;Spring Security
715;elasticsearch;Elasticsearch
716;editorial-design;Editorial Design
718;solr;Solr
719;lucene;Lucene
720;phonegap;Phonegap
721;cms;CMS
722;google-earth;Google Earth
723;nginx;Nginx
724;svn;SVN
725;microsoft-windows-server;Microsoft Windows Server
726;jboss-seam;JBoss Seam
727;typography;Typography
728;arabic;Arabic
729;portuguese;Portuguese
730;chinese;Chinese
731;danish;Danish
732;dutch;Dutch
733;french;French
734;german;German
735;italian;Italian
736;japanese;Japanese
737;korean;Korean
738;mandarin;Mandarin
739;norwegian;Norwegian
740;polish;Polish
741;russian;Russian
742;spanish;Spanish
743;swedish;Swedish
744;ukranian;Ukranian
745;english;English
746;firebird;Firebird
747;web-design-1;Web design
748;responsive-web-design;Responsive Web Design
749;swift;Swift
750;3d-rendering;3D Rendering
751;technical-drawing;Technical Drawing
752;squid;Squid
753;motion-graphics;Motion Graphics
754;backbone-js;Backbone.js
755;mercadopago;MercadoPago
756;xamarin;Xamarin
757;woocommerce;WooCommerce
758;dart;Dart
759;saas;Saas
760;knockout-js;Knockout.js
761;material-design;Material Design
762;business-coaching;Business Coaching
763;adobe-edge-animate;Adobe Edge Animate
764;unity-3d;Unity 3D
765;sound-design;Sound Design
766;news-design;News Design
767;rethinkdb;RethinkDB
768;react-js;React.js
769;business-intelligence;Business Intelligence
770;user-experience-design;User Experience Design
771;shell-scripting;Shell Scripting
772;open-cart;Open Cart
773;lotus-notes;Lotus Notes
774;education-tutoring;Education & Tutoring
775;verilog-vhdl;Verilog / VHDL
776;educational-technology;Educational Technology
777;heroku;Heroku
778;grunt;Grunt
779;civil-law;Civil Law
780;prezi;Prezi
781;ember-js;Ember.js
782;3d-animation;3D Animation
783;unreal-engine;Unreal Engine
784;payroll-1;Payroll
785;braspag;Braspag
786;grails;Grails
787;genexus;GeneXus
788;lotus-domino-server;Lotus Domino Server
789;opengts;OpenGTS
790;jekyll;Jekyll
791;nhibernate;NHibernate
792;red5;Red5
793;apache-cordova;Apache Cordova
794;less-sass-scss;LESS/SASS/SCSS
795;xmpp;XMPP
796;yii;Yii
797;parallax-scrolling;Parallax scrolling
798;photo-editing;Photo Editing
799;autodesk-revit;Autodesk Revit
800;logistic-shipping;Logistic & Shipping
801;subtitling;Subtitling
802;apple-logic-pro;Apple Logic Pro
803;apex;Apex
804;openstack;OpenStack
805;phalcon;Phalcon
806;scriptcase;ScriptCase
807;wix;Wix
808;smalltalk;Smalltalk
809;apache-maven;Apache Maven
810;silex;Silex
811;slim;Slim
812;doctrine;Doctrine
813;google-cloud-platform;Google Cloud Platform
814;puppet;Puppet
815;vmware;VMware
816;autocad-architecture;AutoCAD Architecture
817;autocad-civil-3d;AutoCAD Civil 3D
818;autocad-electrical;AutoCAD Electrical
819;autocad-map-3d;AutoCAD Map 3D
820;autocad-lt;AutoCAD LT
821;autocad-mep;AutoCAD MEP
822;autocad-plant-3d;AutoCAD Plant 3D
823;postfix;Postfix
824;sendgrid;Sendgrid
825;opencv;OpenCV
826;qlikview;Qlikview
827;spss;SPSS
828;big-data;Big Data
829;mariadb;MariaDB
830;virtual-assistant;Virtual Assistant
831;meteor-js;Meteor JS
832;ionic-framework;Ionic Framework
833;primefaces;PrimeFaces
834;socket-io;Socket IO
835;redis;Redis
836;video-360;Video 360
837;pentaho;Pentaho
838;docker;Docker
839;microstrategy;Microstrategy
840;tableau;Tableau
841;fortran;Fortran
842;batch;Batch
843;risk-management;Risk Management
844;rabbitmq;RabbitMQ
845;growth-hacking;Growth Hacking
846;qmail;Qmail
847;apple-motion;Apple Motion
848;selenium;Selenium
849;apache-hadoop;Apache Hadoop
850;apache-hive;Apache Hive
851;freebsd;FreeBSD
852;risk-analysis;Risk Analysis
853;artificial-intelligence;Artificial intelligence
854;pixel-art;Pixel Art
855;finale-sibelius;Finale / Sibelius
856;memoq;memoQ
857;oculus-sdk;Oculus SDK
858;wordpress-1;Wordpress
859;images-for-social-networks;Images for social networks
860;writing-for-websites;Writing for websites
861;proofreading-1;Proofreading
862;content-for-social-networks;Content for social networks
863;virtual-assistant-1;Virtual Assistant
864;customer-support;Customer Support
865;data-entry-1;Data entry
866;market-research-1;Market research
867;telesales;Telesales
868;gather-data;Gather data
869;work-with-a-crm;Work with a CRM
870;project-management-1;Project management
871;recruiting;Recruiting
872;strategic-planning-1;Strategic planning
873;accounting-1;Accounting
874;industrial-design-1;Industrial design
875;cad-drawing;CAD drawing
876;3d-modelling-1;3D modelling
877;others;Other
878;others-1;Other
879;others-2;Other
880;others-3;Other
881;others-4;Other
882;others-5;Other
883;others-6;Other
884;sketch;Sketch
885;scada;SCADA
886;plc;PLC
887;augmented-reality;Augmented Reality
888;ubuntu;Ubuntu
889;landing-page;Landing Page
890;armenian-translation;Armenian Translation
891;greek-translation;Greek Translation
892;hebrew-translation;Hebrew Translation
893;admin-support-1;Admin Support
894;advertising-on-google-facebook-1;Advertising on Google, Facebook
895;banners-1;Banners
896;cad-drawing-1;CAD drawing
897;community-management-1;Community Management
898;content-for-social-networks-1;Content for social networks
899;customer-support-1;Customer Support
900;desktop-apps-1;Desktop apps
901;e-commerce-1;E-commerce
902;e-mail-marketing-1;E-mail marketing
903;images-for-social-networks-1;Images for social networks
904;infographics-1;Infographics
905;logo-design-1;Logo design
906;mobile-app-design-1;Mobile app design
907;recruiting-1;Recruiting
908;seo-1;SEO
909;web-design-2;Web design
910;social-network-advertising;Social network advertising
911;data-science;Data Science
912;bitcoin;Bitcoin
913;blockchain;Blockchain
914;altbeacon;AltBeacon
915;ibeacon;iBeacon
916;eddystone;Eddystone
917;cryptography;Cryptography
918;cryptocurrency;Cryptocurrency
919;firebase;Firebase
920;kubernetes;Kubernetes
921;power-bi;Power BI
922;talend;Talend
923;extract-transform-load-etl;Extract Transform Load (ETL)
924;arcgis;ArcGIS
925;qgis;Qgis
926;go-lang;Go Lang
927;electron;Electron
928;vue-js;Vue.js
929;subtitling-1;Subtitling
930;3d-models;3D Models
931;fashion-design-1;Fashion Design
932;interior-design-1;Interior Design
934;react-native;React Native
935;flutter;Flutter
936;nativescript;NativeScript
937;jira;Jira
938;sales-executive;Sales Executive
939;net-core;.Net Core
940;funcional-analysis;Funcional Analysis
941;angular-7;Angular 7
942;angular-8;Angular 8
943;angular-9;Angular 9
944;bengali;Bengali
945;blender-3d;Blender 3D
946;canva;Canva
947;chatbot;Chatbot
948;cold-calling;Cold calling
949;customer-experience;Customer Experience
950;data-mining;Data Mining
951;devops;DevOps 
952;microsoft-dynamics-365;Microsoft Dynamics 365
953;e-learning;E-learning
954;facebook-ads;Facebook Ads
955;fraud-analyst;Fraud Analyst
956;digital-fraud;Digital Fraud
957;game-design;Game Design
958;gatsbyjs;GatsbyJS
959;google-gsuite;Google GSuite
960;hubspot;Hubspot
961;inbound-marketing;Inbound Marketing
962;instagram;Instagram
963;instagram-ads;Instagram Ads
964;sign-language;Sign Language
965;lumion;Lumion
966;machine-learning;Machine Learning
967;malay;Malay
968;microservices;Microservices
969;microsoft-exchange;Microsoft Exchange
970;microsoft-flow;Microsoft Flow
971;microsoft-office365;Microsoft Office365
972;microsoft-powerapps;Microsoft PowerApps
973;openerp;OpenERP
974;oracle-apex;Oracle Apex
975;persian;Persian
976;pro-tools;Pro Tools
977;qa-automation;Qa Automation
978;qliksense;Qliksense
979;r-programming-language;R programming language
980;sales-solutions;Sales Solutions
981;sales-development-representative-sdr;Sales Development Representative (SDR)
982;spark-ar-studio;Spark AR Studio
983;telemarketing;Telemarketing
984;ux-writing;UX Writing
985;zoho-crm;Zoho CRM
986;zoho-one;Zoho ONE
987;tienda-nube;Tienda Nube
988;data-analytics;Data Analytics
989;data-science-1;Data Science
990;kotlin;Kotlin
991;typescript;Typescript
992;spring-boot;Spring Boot
993;tray;Tray
994;vtex;Vtex
995;mercadoshops;Mercadoshops
996;dropshipping;Dropshipping
997;odoo;Odoo
998;oberlo;Oberlo
999;rest-api;REST API
1000;aspnet-core;ASPNET Core
1001;bitbucket;Bitbucket
1002;digital-ocean;Digital Ocean
1003;elixir;Elixir
1004;express-js;Express.js
1005;flask;Flask
1006;google-data-studio;Google Data Studio
1007;graphql;GraphQL
1008;iot;IoT
1009;jenkins;Jenkins
1010;natural-language-processing;Natural Language Processing
1011;nest-js;Nest.js
1012;next-js;Next.js
1013;oauth;OAuth
1014;pyspark;PySpark
1015;pytorch;Pytorch
1016;redux;Redux
1017;solidjs;SolidJs
1018;solidity;Solidity
1019;tensorflow;Tensorflow
1020;terraform;Terraform
1021;web-scraping;Web Scraping
1022;vanillajs;VanillaJs
1023;android-java;Android (Java)
1024;android-kotlin;Android (Kotlin)
1025;data-engineer-java;Data Engineer (Java)
1026;data-engineer-python;Data Engineer (Python)
1027;data-engineer-scala;Data Engineer (Scala)
1028;data-analyst-python;Data Analyst (Python)
1029;data-analyst-r;Data Analyst (R)
1030;artificial-intelligence-1;Artificial Intelligence
1031;artificial-intelligence-2;Artificial Intelligence
1032;artificial-intelligence-3;Artificial Intelligence
1033;artificial-intelligence-4;Artificial Intelligence
1034;artificial-intelligence-5;Artificial Intelligence
1035;artificial-intelligence-6;Artificial Intelligence
1036;artificial-intelligence-7;Artificial Intelligence
1037;scikit-learn;scikit-learn
1038;nltk-natural-language-toolkit;NLTK (Natural Language Toolkit)
1039;spacy;spaCy
1040;transformers;Transformers
1041;gymnasium;Gymnasium
1042;robot-operating-system-ros;Robot Operating System (ROS)
1043;google-cloud-ai;Google Cloud AI
1044;amazon-aws-ai-ml;Amazon AWS AI/ML
1045;microsoft-azure-ai;Microsoft Azure AI
1046;neo4j;Neo4j
1047;jupyter-notebook;Jupyter Notebook
1048;tensorboard;TensorBoard
1049;adobe-sensei;Adobe Sensei
1050;openai-dall-e;OpenAI DALL-E
1051;chatgpt;ChatGPT
1052;grammarly;Grammarly
1053;summarizebot;SummarizeBot
1054;dialogflow;Dialogflow
1055;ibm-watson-assistant;IBM Watson Assistant
1056;google-assistant;Google Assistant
1057;amazon-alexa;Amazon Alexa
1058;alphasense;AlphaSense
1059;kensho;Kensho
1060;blackrock-aladdin;BlackRock Aladdin
1061;sas-fraud-detection;SAS Fraud Detection
1062;palantir;Palantir
1063;ibm-planning-analytics;IBM Planning Analytics
1064;quarkus;Quarkus
1065;dropwizard;Dropwizard
1066;julia;Julia
1067;groovy;Groovy
1068;elm;Elm
1069;react-query;React Query
1070;recoil;Recoil
1071;mobx;MobX
1072;svelte;Svelte
1073;blazor;Blazor
1074;micronaut;Micronaut
1075;akka;Akka
1076;jhipster;JHipster
1077;ibm-cloud;IBM Cloud
1078;oracle-cloud;Oracle Cloud
1079;openshift;OpenShift
1080;rancher;Rancher
1081;nomad;Nomad
1082;podman;Podman
1083;cockroachdb;CockroachDB
1084;cassandra;Cassandra
1085;h2;H2
1086;influxdb;InfluxDB
1087;arangodb;ArangoDB
1088;bamboo;Bamboo
1089;teamcity;TeamCity
1090;codeship;CodeShip
1091;argocd;ArgoCD
1092;spinnaker;Spinnaker
1093;material-ui;Material UI
1094;foundation;Foundation
1095;ant-design;Ant Design
1096;semantic-ui;Semantic UI
1097;uikit;UIKit
1098;presto;Presto
1099;apache-flink;Apache Flink
1100;apache-beam;Apache Beam
1101;druid;Druid
1102;snowflake;Snowflake
1103;hugging-face-transformers;Hugging Face Transformers
1104;rapidminer;RapidMiner
1105;weka;Weka
1106;knime;KNIME
1107;appcelerator;Appcelerator
1108;grafana;Grafana
1109;ethical-hacking;Ethical Hacking
1110;penetration-testing;Penetration Testing
1111;browserstack;BrowserStack
1112;browserify;Browserify
1113;alibaba-cloud;Alibaba Cloud
1114;graphene-python;Graphene python
1115;tornado-python;Tornado python
1116;godot;Godot
1117;airflow;Airflow
1118;adonis-js;Adonis.js
1119;angular;Angular
1120;rust;Rust
